email,fullName,designation,accessProfile,reportingToEmail
member01@yourcompany.com,Team Member 01,,camp_coordinator,manager@yourcompany.com
member02@yourcompany.com,Team Member 02,,camp_coordinator,manager@yourcompany.com
member03@yourcompany.com,Team Member 03,,camp_coordinator,manager@yourcompany.com
member04@yourcompany.com,Team Member 04,,camp_coordinator,manager@yourcompany.com
member05@yourcompany.com,Team Member 05,,camp_coordinator,manager@yourcompany.com
member06@yourcompany.com,Team Member 06,,camp_coordinator,manager@yourcompany.com
member07@yourcompany.com,Team Member 07,,camp_coordinator,manager@yourcompany.com
member08@yourcompany.com,Team Member 08,,camp_coordinator,manager@yourcompany.com
member09@yourcompany.com,Team Member 09,,camp_coordinator,manager@yourcompany.com
member10@yourcompany.com,Team Member 10,,camp_coordinator,manager@yourcompany.com
member11@yourcompany.com,Team Member 11,,camp_coordinator,manager@yourcompany.com
member12@yourcompany.com,Team Member 12,,camp_coordinator,manager@yourcompany.com
member13@yourcompany.com,Team Member 13,,camp_coordinator,manager@yourcompany.com
member14@yourcompany.com,Team Member 14,,camp_coordinator,manager@yourcompany.com
member15@yourcompany.com,Team Member 15,,camp_coordinator,manager@yourcompany.com
member16@yourcompany.com,Team Member 16,,camp_coordinator,manager@yourcompany.com
member17@yourcompany.com,Team Member 17,,camp_coordinator,manager@yourcompany.com
member18@yourcompany.com,Team Member 18,,camp_coordinator,manager@yourcompany.com
member19@yourcompany.com,Team Member 19,,camp_coordinator,manager@yourcompany.com
member20@yourcompany.com,Team Member 20,,camp_coordinator,manager@yourcompany.com
member21@yourcompany.com,Team Member 21,,camp_coordinator,manager@yourcompany.com
member22@yourcompany.com,Team Member 22,,camp_coordinator,manager@yourcompany.com
member23@yourcompany.com,Team Member 23,,camp_coordinator,manager@yourcompany.com
member24@yourcompany.com,Team Member 24,,camp_coordinator,manager@yourcompany.com
member25@yourcompany.com,Team Member 25,,camp_coordinator,manager@yourcompany.com
